respondent_id,xyz_vaccine,seasonal_vaccine
34640,0.01,0.51
34641,0.07,0.12
34642,0.02,0.71
34643,0.71,0.81
34644,0.01,0.46
34645,0.05,0.23
34646,0.11,0.55
34647,0.95,0.63
34648,0.09,0.07
34649,0.11,0.21
34650,0.69,0.82
34651,0.51,0.38
34652,0.23,0.24
34653,0.9,0.93
34654,0.42,0.89
34655,0.08,0.41
34656,0.04,0.22
34657,0.44,0.85
34658,0.17,0.41
34659,0.07,0.33
34660,0,0.86
34661,0.14,0.39
34662,0.23,0.68
34663,0.51,0.75
34664,0.26,0.82
34665,0.14,0.11
34666,0,0.26
34667,0,0.01
34668,0,0.88
34669,0,0.53
34670,0.85,0.77
34671,0.07,0.79
34672,0.02,0.76
34673,0.66,0.77
34674,0.1,0.16
34675,0.74,0.95
34676,0.82,0.86
34677,0.06,0.2
34678,0.14,0.98
34679,0.48,0.78
34680,0.15,0.89
34681,0.03,0
34682,0.6,0.67
34683,0.42,0.62
34684,0.07,0.13
34685,0.05,0.11
34686,0.03,0.36
34687,0.4,0.63
34688,0.01,0.49
34689,0.56,0.4
34690,0.73,0.68
34691,0.04,0.54
34692,0.69,0.89
34693,0.27,0.12
34694,0,0.65
34695,0.02,0.12
34696,0.06,0.95
34697,0.03,0.06
34698,0.21,0.38
34699,0,0.35
34700,0.32,0.42
34701,0,0.08
34702,0,0.29
34703,0.07,0
34704,0.03,0.71
34705,0.33,1
34706,0.36,0.68
34707,0.01,0.01
34708,0.05,0.5
34709,0.11,0.07
34710,0.05,0.01
34711,0.81,0.94
34712,0.68,0.82
34713,0.11,0.08
34714,0.26,0.09
34715,0,0.4
34716,0.44,0.89
34717,0.02,0.56
34718,0.1,0.3
34719,0.2,0.61
34720,0.03,0.57
34721,0.03,0.09
34722,0.08,0.14
34723,0.2,0.09
34724,0.8,0.86
34725,0.73,0.93
34726,0.12,0.29
34727,0,0.67
34728,0.12,0.88
34729,0.97,0.99
34730,0,0.09
34731,0,0.02
34732,0.14,0.32
34733,0.54,0.7
34734,0.04,0.9
34735,0.01,0.87
34736,0,0.9
34737,0.02,0.31
34738,0,0.03
34739,0.09,0.03
34740,0.06,0.48
34741,0.11,0.13
34742,0.12,0.8
34743,0.05,0.1
34744,0.09,0.08
34745,0.07,0.48
34746,0.01,0.43
34747,0.03,0.37
34748,0.81,0.91
34749,0.12,0.19
34750,0.02,0.48
34751,0.42,0.48
34752,0.08,0.89
34753,0.51,1
34754,0.06,0.26
34755,0.86,0.98
34756,0.47,0.36
34757,0.04,0.41
34758,0.26,0.64
34759,0.11,0.41
34760,0.77,0.31
34761,0,0
34762,0.36,0.97
34763,0.72,0.58
34764,0.01,0.08
34765,0,0.22
34766,0.43,0.83
34767,0.11,0.63
34768,0.61,0.97
34769,0.1,0.49
34770,0,0.36
34771,0.07,0.96
34772,0.06,0.3
34773,0,0.91
34774,0.65,0.89
34775,0.27,0.28
34776,0.07,0.01
34777,0.06,0.03
34778,0.26,0.49
34779,0.24,0.43
34780,0.18,0.16
34781,0.12,0.95
34782,0.19,0.02
34783,0.45,0.48
34784,0.01,0.06
34785,0.03,0.19
34786,0.96,0.87
34787,0,0.39
34788,0.47,0.99
34789,0,0.85
34790,0.38,0.64
34791,0.04,0.11
34792,0.14,0.15
34793,0.69,0.62
34794,0.02,0.18
34795,0.07,0.5
34796,0.03,0.73
34797,0.03,0.5
34798,0.19,0.92
34799,0.7,0.56
34800,0.12,0.87
34801,0.07,0.24
34802,0.22,0.16
34803,0.56,0.71
34804,0.56,0.95
34805,0.27,0.32
34806,0.34,0.73
34807,0.06,0.6
34808,0.44,0.18
34809,0.36,0.26
34810,0.41,0.59
34811,0,0.87
34812,0.1,0.36
34813,0.08,0.11
34814,0,0.29
34815,0.88,0.5
34816,0.01,0.5
34817,0.19,0.06
34818,0.17,0.66
34819,0.01,0.06
34820,0.1,0.29
34821,0.02,0.21
34822,0.03,0.26
34823,0.29,0.26
34824,0.16,0.14
34825,0,0.36
34826,0,0.01
34827,0.29,0.86
34828,0.31,0.27
34829,0.7,0.92
34830,0.45,0.79
34831,0.36,0.59
34832,0.13,0.5
34833,0.03,0.23
34834,0.02,0.13
34835,0.17,0.75
34836,0.07,0.82
34837,0.17,0.46
34838,0.02,0.06
34839,0.11,0.45
34840,0.01,0.35
34841,0.02,0.07
34842,0,0.06
34843,0.23,0.25
34844,0.1,0.84
34845,0,0.31
34846,0.2,0.58
34847,0.7,0.88
34848,0.01,0.38
34849,0.17,0.92
34850,0.46,0.39
34851,0.17,0.37
34852,0.31,0.42
34853,0.08,0.12
34854,0.12,0.48
34855,0.18,0.61
34856,0.53,0.72
34857,0.04,0.01
34858,0.11,0.28
34859,0.11,0.5
34860,0.61,0.72
34861,0.03,0.41
34862,0.23,0.06
34863,0.13,0.04
34864,0.88,0.98
34865,0.96,0.84
34866,0.95,0.98
34867,0.2,0.14
34868,0.26,0.69
34869,0.11,0.57
34870,0,0.11
34871,0.03,0.16
34872,0.87,0.99
34873,0.14,0.16
34874,0.05,0.36
34875,0.17,0.69
34876,0.44,0.58
34877,0.36,0.89
34878,0.25,0.95
34879,0.03,0.24
34880,0.2,0.17
34881,0.79,0.86
34882,0.02,0.06
34883,0.01,0.23
34884,0.03,0.24
34885,0.87,0.77
34886,0.27,0.73
34887,0.02,0.04
34888,0.33,0.87
34889,0.31,0.06
34890,0.03,0.18
34891,0.02,0.12
34892,0.98,1
34893,0.04,0.36
34894,0.02,0.22
34895,0.27,0.79
34896,0.01,0.4
34897,0.85,0.76
34898,0.29,0.9
34899,0.34,0.63
34900,0.33,0.49
34901,0.15,0.21
34902,0.3,0.41
34903,0.06,0.04
34904,0.19,0.18
34905,0.06,0.15
34906,0.01,0.34
34907,0,0.08
34908,0,0.18
34909,0.3,0.33
34910,0.36,0.61
34911,0.51,0.58
34912,0.15,0.15
34913,0.22,0.26
34914,0.32,0.91
34915,0,0.15
34916,0.04,0.71
34917,0.05,0.72
34918,0.24,0.51
34919,0.16,0.42
34920,0.86,0.8
34921,0.28,0.7
34922,0.4,0.42
34923,0.11,0.72
34924,0.36,0.57
34925,0.04,0.12
34926,0.08,0.42
34927,0.01,0.84
34928,0.21,0.55
34929,0.12,0.77
34930,0.04,0.57
34931,0.19,0.55
34932,0.01,0.58
34933,0.37,0.33
34934,0.03,0.09
34935,0.07,0.57
34936,0.42,0.83
34937,0.01,0.03
34938,0.47,1
34939,0.11,0.32
34940,0.73,0.98
34941,0,0.05
34942,0.7,0.55
34943,0,0.31
34944,0.05,0.32
34945,0.05,0.19
34946,0.32,0.15
34947,0.12,0.08
34948,0.21,0.36
34949,0.16,0.19
34950,0.14,0.24
34951,0.05,0.19
34952,0.26,0.8
34953,0.14,0.54
34954,0.27,1
34955,0,0.01
34956,0.86,0.84
34957,0.77,0.8
34958,0.08,0.58
34959,0.22,0.21
34960,0,0.88
34961,0.04,0.68
34962,0.48,0.77
34963,0,0.87
34964,0,0.04
34965,0.15,0.26
34966,0.07,0.49
34967,0.17,0.26
34968,0.16,0.37
34969,0,0.32
34970,0.15,0.37
34971,0.17,0.55
34972,0.08,0.35
34973,0.14,0.13
34974,0.11,0.6
34975,0.13,0.04
34976,0.02,0.07
34977,0.2,0.12
34978,0.01,0.41
34979,0.02,0.13
34980,0.79,0.88
34981,0.03,0.83
34982,0.68,0.81
34983,0.08,0.23
34984,0.63,0.64
34985,0.06,0.72
34986,0.58,0.56
34987,0,0.05
34988,0.34,0.55
34989,0.05,0.03
34990,0.11,0.82
34991,0.35,0.53
34992,0.39,0.96
34993,0.03,0.59
34994,0.3,0.94
34995,0,0.5
34996,0.36,0.81
34997,0.43,0.29
34998,0.69,0.58
34999,0.01,0.43
35000,0.27,0.4
35001,0.05,0.12
35002,0.11,0.9
35003,0.04,0.28
35004,0,0.04
35005,0.06,0.53
35006,0.05,0.48
35007,0.01,0.08
35008,0.07,0.44
35009,0.01,0.68
35010,0.15,0.43
35011,0.32,0.61
35012,0.89,0.45
35013,0.01,0.32
35014,0.01,0.22
35015,0.45,0.43
35016,0,0.14
35017,0.82,0.98
35018,0,0.09
35019,0,0.83
35020,0.88,0.96
35021,0.06,0.12
35022,0.03,0.46
35023,0.37,0.1
35024,0.27,0.31
35025,0.02,0.07
35026,0.11,0.24
35027,0.09,0.33
35028,0.36,0.89
35029,0.61,0.84
35030,0.33,0.47
35031,0.01,0.15
35032,0.25,0.44
35033,0.24,0.61
35034,0.2,0.45
35035,0.27,0.6
35036,0.17,0.23
35037,0.29,0.57
35038,0.13,0.15
35039,0.65,0.7
35040,0.25,0.07
35041,0.21,0.29
35042,0,0.07
35043,0.11,0.59
35044,0.03,0.22
35045,0.04,0.01
35046,0.68,0.71
35047,0.79,0.48
35048,0.06,0.69
35049,0.13,0.42
35050,0.07,0
35051,0.17,0.32
35052,0.13,0.25
35053,0.06,0.77
35054,0,0.15
35055,0.03,0.41
35056,0.1,0.2
35057,0.01,0.04
35058,0.45,0.57
35059,0.02,0.06
35060,0.4,0.37
35061,0.2,0.21
35062,0,0.94
35063,0.05,0
35064,0.18,0.26
35065,0.74,0.88
35066,0.06,0.5
35067,0.05,0.18
35068,0.06,0.54
35069,0.19,0.17
35070,0.36,0.67
35071,0.23,0.34
35072,0.64,0.76
35073,0.46,0.17
35074,0.27,0.46
35075,0.02,0.1
35076,0.07,0.63
35077,0.03,0.07
35078,0.36,0.62
35079,0.79,0.89
35080,0.31,0.46
35081,0.23,0.1
35082,0,0.02
35083,0.15,0.07
35084,0.39,0.83
35085,0.07,0.89
35086,0.01,0.18
35087,0.02,0.73
35088,0.38,0.93
35089,0.03,0.24
35090,0.15,0.79
35091,0.05,0.1
35092,0.02,0.65
35093,0.06,0.04
35094,0.12,0.57
35095,0.37,0.44
35096,0.06,0.99
35097,0.91,0.99
35098,0.23,0.68
35099,0.06,0.16
35100,0.29,0.85
35101,0.04,0.83
35102,0.07,0.02
35103,0.2,0.2
35104,0.03,0.93
35105,0.25,0.56
35106,0.01,0.44
35107,0.22,0.65
35108,0.02,0.58
35109,0.27,0.23
35110,0.39,0.52
35111,0.4,0.93
35112,0.52,0.67
35113,0.16,0.24
35114,0.93,0.99
35115,0.08,0.5
35116,0.08,0.07
35117,0.03,0.24
35118,0.02,0.8
35119,0.02,0.18
35120,0.15,0.03
35121,0.32,0.66
35122,0.07,0.08
35123,0.72,0.54
35124,0.04,0.77
35125,0.12,0.5
35126,0.08,0.2
35127,0.17,0.3
35128,0.3,0.94
35129,0.12,0.67
35130,0.1,0.11
35131,0.07,0.5
35132,0.68,0.94
35133,0.22,0.18
35134,0.59,0.53
35135,0.47,0.37
35136,0.72,0.74
35137,0.65,0.67
35138,0.04,0.14
35139,0.04,0.58
35140,0.13,0.62
35141,0,0.97
35142,0.01,0.27
35143,0.01,0.05
35144,0.13,0.19
35145,0.1,0.62
35146,0.29,0.61
35147,0.01,0.03
35148,0.05,0.06
35149,0.14,0.7
35150,0.51,0.58
35151,0.05,0.94
35152,0.07,0.19
35153,0.28,0.42
35154,0.35,0.92
35155,0,0.8
35156,0.25,0.15
35157,0.45,0.19
35158,0,0.46
35159,0.01,0.1
35160,0.02,0.86
35161,0.03,0.02
35162,0.67,0.93
35163,0.04,0.62
35164,0.15,0.29
35165,0.53,0.67
35166,0.06,0.03
35167,0.04,0.22
35168,0.15,0.12
35169,0.05,0.04
35170,0,0.32
35171,0.89,0.78
35172,0.09,0.43
35173,0.32,0.6
35174,0.03,0.37
35175,0,0.12
35176,0.06,0.34
35177,0.02,0.05
35178,0,0.13
35179,0.85,0.98
35180,0.14,0.93
35181,0,0.15
35182,0.26,0.39
35183,0.52,0.77
35184,0,0.07
35185,0.1,0.01
35186,0.23,0.94
35187,0.39,0.78
35188,0.93,0.69
35189,0.75,0.55
35190,0.02,0.1
35191,0,0.07
35192,0.09,0.41
35193,0,0.1
35194,0.11,0.16
35195,0.02,0.05
35196,0.06,0.33
35197,0.44,0.39
35198,0,0.37
35199,0.03,0.17
35200,0.1,0.97
35201,0,0.09
35202,0.02,0.95
35203,0,0.85
35204,0.02,0.45
35205,0.42,0.35
35206,0.07,0.6
35207,0.71,0.85
35208,0.14,0.3
35209,0.01,0.55
35210,0.44,0.79
35211,0.11,0.53
35212,0.11,0.64
35213,0.14,0.14
35214,0.1,0.26
35215,0.03,0.06
35216,0.01,0.72
35217,0.12,0.64
35218,0.03,0.78
35219,0.1,0.44
35220,0.02,0.18
35221,0.07,0.86
35222,0.12,0.17
35223,0.22,0.97
35224,0.05,0.05
35225,0.94,0.92
35226,0,0
35227,0.27,0.42
35228,0.26,0.52
35229,0.65,0.78
35230,0.02,0.13
35231,0.26,0.53
35232,0.06,0.62
35233,0.55,0.11
35234,0.12,0.11
35235,0.22,0.37
35236,0.03,0.2
35237,0.02,0.09
35238,0.51,0.81
35239,0.03,0.2
35240,0.05,0.94
35241,0,0.03
35242,0.03,0.18
35243,0.6,0.83
35244,0.37,0.43
35245,0.01,0.78
35246,0.11,0.31
35247,0.02,0.16
35248,0.66,0.71
35249,0.13,0.75
35250,0,0.18
35251,0,0
35252,0.06,0.12
35253,0.51,0.58
35254,0.2,0.72
35255,0.03,0.13
35256,0,0.17
35257,0.4,0.21
35258,0.11,0.15
35259,0.48,0.75
35260,0.64,0.88
35261,0.39,0.13
35262,0.51,0.53
35263,0.02,0.01
35264,0.23,0.56
35265,0.14,0.47
35266,0.4,0.68
35267,0.42,0.63
35268,0.76,0.26
35269,0.03,0.04
35270,0.36,0.54
35271,0.02,0.52
35272,0.39,0.79
35273,0.41,0.08
35274,0.42,0.08
35275,0.04,0.23
35276,0.63,0.82
35277,0.09,0.83
35278,0.07,0.19
35279,0.54,0.69
35280,0.01,0.93
35281,0.05,0.15
35282,0.04,0.08
35283,0.28,0.15
35284,0.64,0.43
35285,0.12,0.17
35286,0.89,0.97
35287,0.1,0.32
35288,0.17,0.78
35289,0.03,0.01
35290,0.11,0.06
35291,0.03,0.75
35292,0.05,0.43
35293,0.04,0.01
35294,0.01,0.57
35295,0.06,0.19
35296,0.15,0.13
35297,0.01,0.07
35298,0.26,0.28
35299,0.15,0.15
35300,0.02,0.62
35301,0.06,0.16
35302,0.12,0.53
35303,0.27,0.25
35304,0.06,0.94
35305,0.01,0.15
35306,0.09,0.02
35307,0.05,0.48
35308,0.13,0.33
35309,0.92,0.25
35310,0,0.4
35311,0.39,0.52
35312,0.01,0.04
35313,0.83,0.98
35314,0.08,0.3
35315,0.22,0.1
35316,0.25,0.75
35317,0.09,0.55
35318,0.25,0.14
35319,0.67,0.75
35320,0.02,0.44
35321,0.25,0.06
35322,0.02,0.15
35323,0.33,0.18
35324,0.25,0.95
35325,0.22,0.62
35326,0.62,0.97
35327,0.37,0.9
35328,0.26,0.34
35329,0.01,0.83
35330,0.02,0.39
35331,0.05,0.06
35332,0.24,0.34
35333,0.75,0.92
35334,0.02,0.23
35335,0.01,0.17
35336,0.27,0.26
35337,0.4,0.53
35338,0.38,0.82
35339,0.08,0
35340,0.62,0.76
35341,0.03,0.06
35342,0.1,0.34
35343,0.09,0.13
35344,0.2,0.63
35345,0.1,0.29
35346,0,0.35
35347,0.14,0.81
35348,0.04,0.19
35349,0.58,0.46
35350,0.09,0.4
35351,0.05,0.76
35352,0.12,0.64
35353,0.05,0.09
35354,0.51,0.87
35355,0.02,0.03
35356,0.15,0.27
35357,0.16,0.71
35358,0.29,0.45
35359,0.57,0.81
35360,0.13,0.65
35361,0.43,0.24
35362,0.49,0.52
35363,0.84,0.68
35364,0.04,0.75
35365,0.11,0.8
35366,0.12,0.16
35367,0.02,0.07
35368,0.11,0.24
35369,0.09,0.54
35370,0.17,0.95
35371,0.08,0.1
35372,0.1,0.02
35373,0.01,0.26
35374,0,0.2
35375,0.41,0.78
35376,0,0.64
35377,0.41,0.49
35378,0.27,0.29
35379,0.22,0.94
35380,0.35,0.98
35381,0.14,0.37
35382,0.48,0.74
35383,0,0.1
35384,0.07,0.11
35385,0.15,0.42
35386,0.2,0.56
35387,0.07,0.06
35388,0.29,0.14
35389,0.11,0.1
35390,0.03,0.22
35391,0.07,0.07
35392,0.01,0.37
35393,0.02,0.04
35394,0.96,0.99
35395,0.31,0.23
35396,0.05,0.26
35397,0.16,0.33
35398,0.22,0.45
35399,0.05,0.95
35400,0.56,0.93
35401,0.64,0.84
35402,0.21,0.44
35403,0.08,0.38
35404,0.22,0.1
35405,0.19,0.24
35406,0.02,0
35407,0.5,0.87
35408,0.01,0.19
35409,0.91,0.93
35410,0.73,0.7
35411,0.44,0.11
35412,0.01,0.9
35413,0.11,0.15
35414,0,0.36
35415,0,0.75
35416,0.35,0.29
35417,0,0
35418,0.01,0.58
35419,0.14,0.75
35420,0.17,0.22
35421,0.01,0.07
35422,0.12,0.84
35423,0.19,0.1
35424,0.34,0
35425,0.02,0.25
35426,0.07,0.48
35427,0,0.04
35428,0.11,0.31
35429,0.02,0.75
35430,0.11,0.25
35431,0.59,0.83
35432,0.53,0.55
35433,0.5,0.5
35434,0.06,0.7
35435,0.27,0.97
35436,0.15,0.74
35437,0.08,0.51
35438,0,0.39
35439,0.01,0.39
35440,0.05,0.27
35441,0,0.79
35442,0.18,0.65
35443,0.04,0.25
35444,0.04,0.97
35445,0.08,0.88
35446,0.1,0.21
35447,0.19,0.64
35448,0.05,0.23
35449,0.75,0.91
35450,0.12,0.72
35451,0.28,0.39
35452,0.04,0.17
35453,0.23,0.6
35454,0,0.09
35455,0.04,0.14
35456,0.25,0.75
35457,0.03,0.02
35458,0.09,0.16
35459,0.01,0.92
35460,0.3,0.77
35461,0.23,0.42
35462,0.02,1
35463,0.27,0.74
35464,0,0.46
35465,0.21,0.81
35466,0.22,0.22
35467,0,0.97
35468,0.06,0.25
35469,0.22,0.67
35470,0.46,0.42
35471,0.02,0
35472,0.11,0.13
35473,0.08,0.4
35474,0.32,0.23
35475,0.28,0.56
35476,0.01,0.64
35477,0,0.1
35478,0.08,0.63
35479,0.07,0.03
35480,0.01,0.02
35481,1,0.91
35482,0.06,1
35483,0.06,0.07
35484,0.71,0.94
35485,0.3,0.34
35486,0.34,0.74
35487,0.17,0.78
35488,0,0.07
35489,0,0.32
35490,0.21,0.49
35491,0.01,0.35
35492,0.09,0.05
35493,0.08,0.71
35494,0.04,0.31
35495,0.59,0.72
35496,0.03,0.18
35497,0.01,0.19
35498,0.08,0.33
35499,0.05,0.12
35500,0.28,0.18
35501,0.46,0.17
35502,0.25,0.16
35503,0.76,0.7
35504,0.07,0.65
35505,0.09,0.26
35506,0.19,0.33
35507,0.77,0.95
35508,0.13,0.46
35509,0.53,0.76
35510,0.03,0.27
35511,0.13,0.38
35512,0.03,0.97
35513,0.07,0.89
35514,0.09,0.32
35515,0.03,0.94
35516,0.67,0.58
35517,0.61,0.97
35518,0.16,0.46
35519,0.44,0.39
35520,0.39,0.76
35521,0.78,0.93
35522,0.3,0.6
35523,0.34,0.78
35524,0.27,0.32
35525,0.01,0.05
35526,0,0.85
35527,0.25,0.48
35528,0.3,0.89
35529,0.92,0.8
35530,0.05,0.84
35531,0.43,0.62
35532,0.25,0.58
35533,0.02,0.05
35534,0.08,0.24
35535,0.07,0.03
35536,0.96,0.76
35537,0.02,0.02
35538,0.93,0.9
35539,0.01,0.13
35540,0.52,0.76
35541,0.27,0.69
35542,0.16,0.3
35543,0.06,0.05
35544,0.43,0.46
35545,0.08,0.33
35546,0.17,0.17
35547,0.03,0.08
35548,0.14,0.95
35549,0.38,0.38
35550,0.41,0.77
35551,0,0
35552,0.1,0.92
35553,0.17,0.77
35554,0.6,0.89
35555,0.29,0.29
35556,0.02,0.11
35557,0,0.15
35558,0.02,0
35559,0.11,0.28
35560,0.16,0.31
35561,0.01,0.07
35562,0.08,0.34
35563,0,0.45
35564,0.03,0.09
35565,0.12,0.64
35566,0.01,0.83
35567,0.09,0.03
35568,0.18,0.77
35569,0.27,0.67
35570,0.25,0.34
35571,0.12,0.53
35572,0,0.79
35573,0.09,0.83
35574,0.01,0.13
35575,0.15,0.71
35576,0.04,0
35577,0.41,0.42
35578,0.05,0.25
35579,0.01,0.07
35580,0.08,0.26
35581,0.73,0.76
35582,0.67,1
35583,0.06,0.21
35584,0.28,0.83
35585,0.34,0.09
35586,0.9,1
35587,0.17,0.45
35588,0.17,0.59
35589,0.01,0.59
35590,0.19,0.34
35591,0.04,0.2
35592,0.11,0.38
35593,0,0.07
35594,0.01,0.35
35595,0.56,0.34
35596,0.46,0.51
35597,0.36,0.34
35598,0.34,0.12
35599,0.11,0.89
35600,0.14,0.7
35601,0.35,0.64
35602,0.32,0.26
35603,0.15,0.53
35604,0.82,0.85
35605,0.07,0.98
35606,0.03,0.55
35607,0.1,0.14
35608,0.74,0.96
35609,0.3,0.82
35610,0.29,0.86
35611,0.04,0.48
35612,0.19,0.51
35613,0.32,0.39
35614,0.24,0.94
35615,0.35,0.52
35616,0.29,0.55
35617,0.06,0.1
35618,0.1,0.35
35619,0.25,0.39
35620,0.13,0.45
35621,0.05,0.57
35622,0.36,0.81
35623,0.38,0.46
35624,0.46,0.41
35625,0.02,0.63
35626,0,0.59
35627,0.06,0.84
35628,0.08,0.21
35629,0.01,0.4
35630,0,0.01
35631,0,0
35632,0.13,0.27
35633,0.07,0.26
35634,0.02,0.12
35635,0.9,0.98
35636,0.28,0.89
35637,0.39,0.32
35638,0.11,0.06
35639,0.55,0.78
35640,0.01,0.17
35641,0.12,0.06
35642,0.15,0.16
35643,0.5,0.68
35644,0.04,0.03
35645,0.56,0.99
35646,0.29,0.2
35647,0.1,0.42
35648,0.18,0.79
35649,0.03,0.46
35650,0.04,0.79
35651,0.45,0.07
35652,0.71,0.96
35653,0.56,0.88
35654,0.04,0.25
35655,0.12,0.36
35656,0.07,0.41
35657,0.21,0.9
35658,0,0.07
35659,0.05,0.27
35660,0.71,0.73
35661,0.01,0.29
35662,0.23,0.16
35663,0.02,0.08
35664,0.51,0.81
35665,0.22,0.23
35666,0.01,0.07
35667,0.04,0.58
35668,0,0.06
35669,0.99,0.99
35670,0.6,0.58
35671,0.26,0.76
35672,0.48,0.57
35673,0.05,0.14
35674,0.22,0.96
35675,0.48,0.61
35676,0.17,0.66
35677,0.6,0.22
35678,0.02,0.49
35679,0.18,0.2
35680,0.01,0.02
35681,0.78,0.98
35682,0.12,0.13
35683,0.32,0.29
35684,0.07,0.47
35685,0,0
35686,0.38,0.8
35687,0.34,0.27
35688,0,0.16
35689,0.04,0.14
35690,0,0.07
35691,0.89,0.97
35692,0.02,0.06
35693,0.74,0.66
35694,1,0.99
35695,0.81,1
35696,0.02,0.33
35697,0.04,0.77
35698,0.01,0.4
35699,0.01,0.1
35700,0,0.05
35701,0,0.07
35702,0.04,0.12
35703,0.03,0.16
35704,0.9,0.98
35705,0.21,0.28
35706,0.08,0.28
35707,0.01,0.95
35708,0.65,0.73
35709,0,0.04
35710,0.02,0.15
35711,0.05,0.85
35712,0,0
35713,0.43,0.31
35714,0.16,0.94
35715,0.82,0.65
35716,0.01,0.04
35717,0.06,0.36
35718,0.12,0.22
35719,0,0.08
35720,0.47,0.81
35721,0.08,0.25
35722,0.03,0.04
35723,0.2,0.75
35724,0.01,0.2
35725,0.03,0.05
35726,0.07,0.56
35727,0.12,0.06
35728,0.09,0.33
35729,0.17,0.84
35730,0,0.24
35731,0.02,0.95
35732,0.08,0.03
35733,0.01,0.7
35734,0.36,0.7
35735,0.03,0.03
35736,0.27,0.23
35737,0.66,0.54
35738,0.02,0.19
35739,0.06,0.73
35740,0,0.6
35741,0.05,0.09
35742,0.07,0.92
35743,0.08,0.56
35744,0.12,0.3
35745,0.2,0.18
35746,0.01,0.06
35747,0.14,0.15
35748,0.34,0.42
35749,0.27,0.11
35750,0.11,0.09
35751,0,0.1
35752,0,0.46
35753,0.09,0.9
35754,0.21,0.24
35755,0.01,0.15
35756,0.44,0.79
35757,0.44,0.38
35758,0.01,0.01
35759,0.12,0.99
35760,0.06,0.44
35761,0.93,0.55
35762,0.65,0.84
35763,0.3,0.52
35764,0.56,0.63
35765,0.11,0.81
35766,0.56,0.75
35767,0.2,0.48
35768,0,0.92
35769,0.42,0.76
35770,0.25,0.88
35771,0.12,0.22
35772,0.14,0.12
35773,0.14,0.24
35774,0.14,0.24
35775,0.46,0.62
35776,0.22,0.52
35777,0.5,0.91
35778,0,0.33
35779,0.55,0.63
35780,0.05,0.27
35781,0.46,0.64
35782,0.64,0.73
35783,0.32,0.59
35784,0.94,0.95
35785,0.03,0.02
35786,0.01,0.21
35787,0.04,0.78
35788,0,0.73
35789,0.1,0.23
35790,0.46,0.5
35791,0.4,0.97
35792,0.03,0.53
35793,0.42,0.89
35794,0.11,0.14
35795,0.13,0.61
35796,0.14,0.2
35797,0.03,0.04
35798,0.22,0.16
35799,0.01,0.1
35800,0.07,0.36
35801,0.25,0.22
35802,0.02,0.03
35803,0.24,0.47
35804,0,0.25
35805,0,0.47
35806,0.3,0.47
35807,0.15,0.64
35808,0.12,0.6
35809,0.11,0.31
35810,0.26,0.77
35811,0.11,0.23
35812,0.16,0.28
35813,0.24,0.09
35814,0.58,0.91
35815,0.24,0.56
35816,0.7,0.95
35817,0.06,0.08
35818,0.09,0.33
35819,0.59,0.65
35820,0.09,0.7
35821,0.52,0.68
35822,0.9,0.86
35823,0.41,0.58
35824,0.33,0.42
35825,0.69,0.91
35826,0,0.16
35827,0.01,0.62
35828,0.18,0.08
35829,0.01,0.03
35830,0,0.62
35831,0.02,0.08
35832,0.06,0.33
35833,0.15,0.26
35834,0.1,0.74
35835,0.04,0.61
35836,0.4,0.7
35837,0,0.43
35838,0,0
35839,0.12,0.32
35840,0,0.18
35841,0.27,0.74
35842,0.55,0.28
35843,0.49,0.75
35844,0.03,0.09
35845,0.14,0.06
35846,0.11,0.01
35847,0.04,0.73
35848,0.22,0.81
35849,0.32,0.3
35850,0.01,0.94
35851,0.29,0.14
35852,0.02,0.18
35853,0.04,0.41
35854,0.3,0.78
35855,0.02,0.11
35856,0.62,0.55
35857,0.03,0.01
35858,0.04,0.41
35859,0.49,0.66
35860,0.15,0.21
35861,0.94,0.81
35862,0.26,0.67
35863,0.74,0.98
35864,0.47,0.85
35865,0.18,0.57
35866,0.12,0.15
35867,0.05,0.33
35868,0.08,0.48
35869,0.1,0.04
35870,0.16,0.77
35871,0.46,0.69
35872,0.09,0.14
35873,0.02,0.59
35874,0.44,0.94
35875,0,0.16
35876,0.37,0.66
35877,0.26,0.28
35878,0.79,0.86
35879,0.02,0.72
35880,0.32,0.56
35881,0.19,0.95
35882,0.79,0.88
35883,0.2,0.7
35884,0.09,0.49
35885,0.03,0.14
35886,0.03,0.1
35887,0.03,0.6
35888,0.01,0.52
35889,0.35,0.69
35890,0.09,0.58
35891,0.41,0.62
35892,0.42,0.3
35893,0.02,0.81
35894,0.23,0.67
35895,0.02,0.56
35896,0.16,0.42
35897,0.17,0.24
35898,0.28,0.34
35899,0,0.05
35900,0.04,0.4
35901,0.35,0.81
35902,0.01,0.05
35903,0.36,0.74
35904,0.55,0.87
35905,0.04,0.22
35906,0.16,0.32
35907,0.11,0.92
35908,0.16,0.42
35909,0.06,0.49
35910,0,0.67
35911,0.05,0.87
35912,0.29,0.35
35913,0.02,0.03
35914,0.4,0.46
35915,0.43,0.61
35916,0.04,0.27
35917,0.05,0.03
35918,0.3,0.81
35919,0.4,0.43
35920,0.2,0.53
35921,0.2,0.31
35922,0.02,0.18
35923,0.13,0.32
35924,0.05,0.29
35925,0.68,0.91
35926,0.06,0.95
35927,0.27,0.86
35928,0.01,0.34
35929,0.07,0.27
35930,0.16,0.89
35931,0.9,0.82
35932,0.82,0.99
35933,0.01,0.29
35934,0,0.21
35935,0,0.11
35936,0.06,0.06
35937,0.21,0.41
